Fecha,IGAE
2014/03,101.6523032
2014/04,102.3368307
2014/05,102.7751605
2014/06,102.5523817
2014/07,102.9458022
2014/08,102.733533
2014/09,102.599635
2014/10,103.8420671
2014/11,104.0589216
2014/12,104.1039109
2015/01,104.1080052
2015/02,104.4559604
2015/03,104.5487831
2015/04,106.154591
2015/05,105.1945089
2015/06,105.5969282
2015/07,106.4824237
2015/08,106.6448614
2015/09,107.6547031
2015/10,106.7473815
2015/11,106.2994913
2015/12,106.478835
2016/01,107.0352964
2016/02,107.4649046
2016/03,107.2231075
2016/04,107.3397411
2016/05,107.664571
2016/06,108.2931275
2016/07,108.2268516
2016/08,108.2350762
2016/09,108.935009
2016/10,109.3489376
2016/11,109.6380489
2016/12,110.3565079
2017/01,110.4351327
2017/02,109.8580238
2017/03,110.3639306
2017/04,110.5104947
2017/05,109.7011288
2017/06,111.0004526
2017/07,109.9442225
2017/08,110.9603765
2017/09,109.5469537
2017/10,111.0878274
2017/11,111.7644932
2017/12,113.1163776
2018/01,111.8154926
2018/02,112.2707998
2018/03,113.133206
2018/04,112.7891104
2018/05,112.9354429
2018/06,113.0118963
2018/07,113.185656
2018/08,113.6429575
2018/09,113.3576747
2018/10,113.119458
2018/11,113.1486888
2018/12,112.5703217
2019/01,113.3540081
2019/02,113.2278503
2019/03,112.2744133
2019/04,112.7149128
2019/05,112.2298881
2019/06,112.7398354
2019/07,112.5347513
2019/08,113.2105801
2019/09,113.2519881
2019/10,112.5851007
2019/11,112.0380207
2019/12,112.1011176
2020/01,113.4029245
2020/02,111.7172123
2020/03,109.3286873
2020/04,90.51147898
2020/05,87.56043063
2020/06,96.26069299
2020/07,101.3572187
2020/08,104.004862
2020/09,106.2437764
2020/10,107.1391041
2020/11,107.6080463
2020/12,108.2127111
2021/01,108.0418384
2021/02,107.0775937
2021/03,110.4378352
2021/04,109.7043655
2021/05,110.1668254
2021/06,109.1579063
2021/07,109.336247
2021/08,108.0452023
2021/09,107.7234638
2021/10,107.5416757
2021/11,107.9175358
